worked,income,threepluskids,educ,boy1st,boy2nd,black,hisp,othrace,age,agefirstbirth
0,0,0,12,1,0,0,0,0,27,18
1,18903.059,0,7,0,1,0,0,0,30,18
0,0,0,12,1,0,0,0,0,27,21
0,0,0,14,1,0,1,0,0,35,27
1,7294.6279,0,14,0,0,0,0,0,30,22
1,6727.8511,0,12,1,0,0,0,0,26,18
0,0,0,13,0,1,0,0,0,29,20
1,4208.8428,0,2,1,1,0,0,0,33,18
0,0,0,14,0,1,0,0,0,29,22
0,0,0,12,1,0,0,0,0,27,18
0,0,1,12,1,1,0,0,0,28,20
1,23101.404,0,12,0,1,0,0,0,28,20
1,25116.611,0,12,1,1,0,0,0,35,18
1,12857.438,0,12,0,0,0,0,0,34,21
1,2970.3306,0,12,0,0,0,0,0,32,19
1,2949.3389,0,9,0,1,0,0,0,26,15
0,0,0,14,0,0,0,0,0,34,25
1,73.471077,1,9,1,0,0,0,0,35,22
0,0,1,12,0,0,0,0,0,24,18
0,0,0,12,0,1,0,0,0,33,17
0,0,1,7,1,1,0,0,0,29,17
1,17034.793,0,13,1,1,0,0,0,29,19
0,0,1,8,1,1,0,0,0,31,17
0,0,1,9,1,0,0,0,0,30,17
0,0,0,12,1,1,0,0,0,35,23
1,13445.207,0,13,1,0,0,0,0,28,20
0,0,0,10,1,1,0,0,0,21,17
0,0,0,13,1,1,0,0,0,28,20
1,6308.0166,0,9,0,1,0,0,0,26,16
0,0,1,12,0,0,0,0,0,30,23
1,2109.6694,0,12,0,0,0,0,0,26,22
1,1060.0826,1,12,0,1,0,0,0,29,19
0,0,0,12,0,1,0,0,0,33,21
1,8407.1904,1,7,1,0,0,0,0,26,15
1,5363.3887,0,12,0,1,0,0,0,28,18
1,766.19836,0,11,0,1,0,0,0,33,18
0,0,0,12,1,0,0,0,0,32,22
1,10506.363,1,12,1,0,0,0,0,26,19
1,14704.711,1,15,0,1,0,0,0,32,21
0,0,0,12,0,1,0,0,0,28,18
1,14704.711,1,12,0,1,1,0,0,32,20
0,0,0,12,1,0,0,0,0,35,18
0,0,0,12,0,0,0,0,0,33,23
1,23101.404,0,16,0,0,0,0,0,32,22
0,0,0,6,1,0,0,0,0,29,18
1,14704.711,0,12,0,1,0,0,0,29,17
0,0,0,12,0,1,0,0,0,31,19
1,9897.6035,1,8,1,1,0,0,0,30,19
0,0,0,12,1,0,0,0,0,28,18
0,0,0,12,1,0,0,0,0,29,20
0,0,0,12,1,0,0,0,0,33,18
0,0,0,13,1,1,0,0,0,28,19
1,7756.4463,0,13,1,1,0,0,0,32,25
1,4208.8428,0,12,1,0,0,0,0,30,19
0,0,1,13,1,1,0,0,0,31,20
1,1060.0826,1,12,1,0,0,0,0,33,19
1,1899.7521,0,14,1,0,0,0,0,28,22
1,10506.363,1,10,0,1,0,0,0,30,16
0,0,1,10,1,0,0,0,0,30,19
1,20477.438,0,12,0,1,0,0,0,34,19
1,12605.537,0,12,1,0,0,0,0,34,20
0,0,1,8,0,0,0,0,0,26,18
0,0,0,14,0,1,0,0,0,33,20
1,21002.23,0,12,0,1,0,0,0,35,19
0,0,0,12,0,0,0,0,0,28,20
1,31498.1,1,9,0,1,0,0,0,31,19
0,0,0,12,1,1,0,0,0,29,22
1,17853.471,0,12,0,1,0,0,0,32,24
1,15061.57,0,12,1,0,0,0,0,32,19
0,0,1,17,0,1,0,0,0,31,24
0,0,0,12,0,1,0,0,0,31,20
0,0,1,12,1,1,0,0,0,27,18
1,7147.686,0,12,1,1,0,0,0,25,20
1,8407.1904,0,12,1,0,0,0,0,31,23
1,14704.711,1,12,0,0,0,0,0,34,16
1,25116.611,1,12,1,1,0,0,0,33,18
0,0,0,12,1,0,0,0,0,31,19
0,0,0,12,1,0,0,0,0,30,22
0,0,0,10,1,0,0,0,0,25,16
1,8155.2891,0,12,0,0,0,0,0,31,19
0,0,1,8,0,1,0,0,0,32,20
0,0,0,12,0,1,0,0,0,31,23
0,0,1,12,0,1,0,0,0,32,20
1,15964.215,0,10,0,1,0,0,0,28,16
1,1668.843,0,14,0,1,0,0,0,25,19
1,2109.6694,0,12,1,1,0,0,0,33,22
0,0,1,7,1,1,0,0,0,29,19
1,10506.363,0,12,0,0,0,0,0,31,23
0,0,0,12,0,0,0,0,0,33,20
0,0,0,9,1,0,0,0,0,33,18
0,0,1,11,1,1,0,0,0,27,21
1,10926.198,1,10,1,0,0,0,0,34,19
1,16530.992,1,12,0,0,0,0,0,35,23
1,16803.885,0,10,0,0,0,0,0,30,19
1,2949.3389,1,7,1,0,0,0,0,23,17
1,1857.7686,0,9,0,1,0,0,0,23,17
0,0,1,12,1,0,0,0,0,29,19
1,2739.4214,0,14,1,1,0,0,0,29,23
0,0,0,12,0,0,0,0,0,24,18
1,52489.836,0,12,1,1,0,0,0,32,23
0,0,0,12,0,0,0,0,0,33,22
1,10506.363,0,12,0,1,0,0,0,29,16
0,0,1,12,1,0,0,0,0,22,16
1,15754.298,1,12,1,1,0,0,0,31,20
1,6308.0166,1,10,1,0,0,0,0,27,20
1,2949.3389,0,12,0,1,0,0,0,31,19
0,0,1,12,0,0,0,0,0,35,18
0,0,1,9,1,1,0,0,0,30,19
1,430.33057,0,12,1,1,0,0,0,27,19
0,0,0,10,1,0,0,0,0,28,19
0,0,0,11,0,0,0,0,0,30,20
1,9036.9424,0,10,1,0,0,0,0,30,20
0,0,0,6,1,1,0,0,0,26,17
0,0,0,16,0,0,0,0,1,34,23
1,42581.734,1,11,0,0,0,0,0,33,19
1,325.37189,0,13,0,0,0,0,0,29,22
0,0,0,12,1,1,0,0,0,27,22
1,23521.24,0,16,1,0,0,0,0,28,21
1,7357.6035,1,12,0,0,0,0,0,34,18
0,0,0,14,1,0,0,0,0,32,23
1,3789.0083,1,9,1,1,0,0,0,30,20
1,8407.1904,1,12,0,0,0,0,0,28,21
1,12605.537,0,8,1,0,0,0,0,24,18
1,304.38016,0,12,1,1,0,0,0,32,21
0,0,0,12,0,1,0,0,0,31,20
0,0,0,11,1,1,0,0,0,24,18
1,220.41322,1,13,0,0,0,0,0,32,22
0,0,1,8,0,1,0,0,0,35,17
0,0,0,13,0,0,0,0,0,29,22
0,0,0,11,1,1,0,0,0,33,19
0,0,1,9,1,0,0,0,0,32,17
1,13655.124,0,12,1,0,0,0,0,27,20
1,16541.488,1,12,0,1,0,0,0,34,17
0,0,0,12,0,1,0,0,0,33,22
1,20162.563,0,12,1,1,1,0,0,30,19
1,35696.445,0,12,0,1,0,0,0,32,23
0,0,1,12,1,0,0,0,0,35,19
0,0,0,12,1,0,0,0,0,31,24
0,0,1,12,0,1,0,0,0,31,18
0,0,0,12,0,0,0,0,0,35,27
1,6308.0166,0,12,1,1,0,0,0,25,15
1,21002.23,0,14,1,0,1,0,0,33,23
0,0,1,12,1,1,0,0,0,30,18
1,13718.1,0,12,0,1,0,0,0,28,19
1,46192.313,0,12,1,0,0,0,0,32,18
0,0,0,12,0,1,0,0,0,32,21
0,0,1,12,0,1,0,0,0,27,16
1,640.24792,1,12,1,0,0,0,0,32,20
1,5258.4297,0,12,1,0,0,0,0,34,20
1,2109.6694,0,9,1,1,0,0,0,22,16
1,30448.512,0,18,0,0,0,0,0,32,24
1,21862.893,0,12,0,0,1,0,0,31,26
1,40398.594,0,16,1,0,1,0,0,35,24
0,0,0,15,1,1,0,0,0,34,22
0,0,1,12,0,0,0,0,0,35,20
1,19070.992,1,9,1,1,0,0,0,29,20
0,0,0,12,0,1,0,0,0,24,19
1,10506.363,0,10,1,1,0,0,0,28,19
0,0,0,11,0,1,0,0,0,33,18
0,0,1,12,0,0,0,0,0,32,17
1,6308.0166,0,12,1,1,0,0,0,27,17
1,24234.959,0,16,1,1,0,0,0,32,24
0,0,1,9,0,0,0,0,0,31,18
1,13970,0,12,0,0,0,0,0,33,23
1,8407.1904,1,12,1,1,0,0,0,33,18
1,26250.166,0,12,0,0,0,0,0,32,19
1,11346.033,0,11,0,1,0,0,0,33,18
0,0,1,12,1,0,0,0,0,32,18
1,29503.885,1,16,1,0,1,0,0,28,18
1,17643.555,0,13,0,0,0,0,0,23,20
0,0,0,12,0,0,0,0,0,28,19
1,20750.33,1,12,1,1,0,0,0,33,18
1,10065.537,0,12,1,0,0,0,0,29,20
1,15124.546,0,12,1,1,0,0,0,34,17
0,0,0,9,1,0,0,0,0,32,19
1,13655.124,1,12,1,1,1,0,0,30,19
0,0,1,5,0,0,0,0,0,28,18
1,2109.6694,0,16,0,1,0,0,0,35,25
1,16803.885,1,10,1,0,0,0,0,28,17
1,8407.1904,0,13,1,0,0,0,0,29,17
0,0,0,14,1,0,0,0,0,33,24
0,0,0,12,1,0,0,0,0,34,20
1,472.31406,0,12,0,1,0,0,0,30,18
0,0,1,12,0,0,0,0,0,33,20
1,12605.537,0,12,0,1,1,0,0,23,19
1,598.26447,0,12,0,0,0,0,0,30,20
0,0,0,11,0,1,0,0,0,26,17
0,0,0,12,0,0,0,0,0,31,21
1,27299.752,0,12,1,0,1,0,0,32,22
0,0,1,12,0,0,0,0,0,25,21
1,7210.6611,0,12,1,0,0,0,0,33,23
1,9246.8594,1,12,1,1,0,0,0,34,17
1,17685.537,1,11,1,1,0,0,0,30,17
0,0,0,13,1,0,1,0,0,31,18
1,472.31406,0,16,1,0,0,0,0,28,22
1,33744.215,0,12,0,0,0,0,0,33,19
1,14830.661,0,12,1,0,0,0,0,33,22
1,2109.6694,1,12,0,1,0,0,0,35,19
1,29398.926,0,18,0,1,0,0,0,29,25
1,7567.5205,0,12,1,0,0,0,0,26,21
0,0,0,12,0,1,0,0,0,30,18
0,0,0,12,0,1,0,0,0,30,17
0,0,0,10,1,1,0,0,0,31,19
1,26732.975,0,11,0,0,0,0,0,32,18
0,0,0,13,1,0,0,0,0,26,19
0,0,0,12,1,0,0,0,0,29,22
0,0,1,12,0,1,0,0,0,22,18
0,0,1,9,0,0,0,0,0,35,19
1,10926.198,1,6,0,0,0,0,0,33,19
1,31015.289,0,12,1,1,0,0,0,25,20
0,0,1,12,1,0,0,0,0,34,20
0,0,1,10,0,0,0,0,0,35,24
0,0,1,12,0,0,0,0,0,30,17
0,0,1,11,1,0,0,0,0,24,18
0,0,1,10,0,0,0,0,0,30,18
1,15544.38,0,9,1,0,0,0,0,23,16
0,0,1,9,0,0,0,0,0,26,20
1,17538.596,0,12,1,0,0,0,0,25,18
1,6538.9258,1,12,0,1,0,0,0,32,20
1,18483.223,1,17,0,1,0,0,0,35,21
1,5888.1816,1,12,1,1,0,0,0,33,22
1,8407.1904,1,12,0,0,0,0,0,31,17
1,6308.0166,0,12,1,0,0,0,0,32,19
0,0,1,12,0,0,0,0,0,29,20
1,29650.826,0,8,1,0,0,0,0,30,17
0,0,0,12,1,1,0,0,0,31,21
1,25200.578,0,12,0,1,0,0,0,32,25
0,0,0,13,0,1,0,0,0,29,21
1,7567.5205,0,11,0,1,0,0,0,35,18
1,6308.0166,0,12,1,0,0,0,0,32,19
1,2529.5042,0,8,1,0,0,0,0,32,18
1,7357.6035,1,12,1,1,0,0,0,34,18
0,0,1,12,0,1,0,0,0,30,17
1,21002.23,0,12,1,1,0,0,0,31,19
1,1689.8347,1,12,0,1,0,0,0,31,17
0,0,0,15,1,0,0,0,0,28,24
1,1794.7933,0,6,1,0,0,0,0,28,19
1,4208.8428,1,9,0,1,0,0,0,35,18
0,0,0,12,1,0,0,0,0,26,20
1,12605.537,1,14,0,0,1,0,0,33,26
1,4229.8345,1,10,0,0,0,0,0,34,18
1,430.33057,0,12,1,1,0,0,0,25,18
1,4208.8428,1,10,0,0,0,0,0,32,16
1,0,1,12,1,1,0,0,0,32,19
0,0,1,12,1,0,0,0,0,24,18
1,3579.0908,1,12,0,0,0,0,0,26,18
1,1311.9835,0,12,0,1,0,0,0,25,17
1,16803.885,0,14,0,1,0,0,0,32,24
0,0,0,12,1,1,0,0,0,28,21
0,0,1,9,0,1,0,0,0,26,16
0,0,0,12,0,0,0,0,0,35,19
0,0,0,12,0,0,0,0,0,26,19
0,0,1,9,1,0,0,0,0,33,16
1,4208.8428,0,11,1,0,0,0,0,31,17
0,0,1,12,0,1,0,0,0,24,18
0,0,1,11,0,0,0,0,0,33,17
0,0,0,15,1,1,0,0,0,31,22
1,35486.527,0,12,1,0,0,0,0,33,19
0,0,1,14,0,0,0,0,0,35,21
0,0,1,14,0,0,0,0,0,32,19
0,0,0,12,1,0,0,0,0,28,23
0,0,1,12,1,0,0,0,0,32,21
0,0,0,15,0,1,0,0,0,32,21
0,0,0,16,1,0,0,0,0,30,20
0,0,0,12,1,0,0,0,0,32,25
1,16111.157,0,12,1,1,0,0,0,33,26
0,0,1,9,1,1,0,0,0,35,21
1,451.32233,0,9,1,1,0,0,0,28,18
1,24150.992,0,16,1,1,0,0,0,30,19
0,0,0,16,0,1,0,0,0,28,20
1,10506.363,0,10,1,1,0,0,0,31,16
1,12416.611,1,12,0,0,0,0,0,35,18
1,16803.885,0,12,0,0,0,0,0,27,19
0,0,0,12,1,0,0,0,0,25,17
0,0,0,11,0,0,0,0,0,32,19
0,0,0,12,1,0,0,0,0,29,19
0,0,0,11,1,1,0,0,0,32,18
1,640.24792,1,8,0,1,0,0,0,29,19
0,10506.363,0,10,1,1,0,0,0,32,17
0,0,0,6,1,0,0,0,0,34,18
1,10506.363,0,11,0,0,0,0,0,30,20
0,0,0,9,0,1,0,0,0,28,22
0,0,0,14,0,0,0,0,0,34,24
1,16803.885,0,13,1,1,0,0,0,35,21
0,0,1,12,0,0,0,0,0,33,18
0,0,1,12,0,1,0,0,0,31,22
1,703.22314,1,12,0,0,0,0,0,35,26
1,29398.926,0,13,0,0,1,0,0,29,21
0,0,1,12,0,0,0,0,0,35,19
1,13655.124,0,12,1,1,1,0,0,21,17
1,10506.363,0,12,0,1,0,0,0,30,18
1,52.47934,0,12,0,1,0,0,0,24,21
1,6308.0166,0,13,0,0,0,0,0,27,17
0,0,1,12,1,1,0,0,0,31,19
0,0,0,15,1,0,0,0,1,29,21
0,0,0,12,0,1,0,0,0,21,16
1,5258.4297,0,12,0,1,0,0,0,35,18
0,0,1,7,0,1,0,0,0,25,17
1,3159.2561,0,12,0,0,0,0,0,30,19
0,0,1,6,0,1,0,0,0,26,18
0,0,1,12,0,0,0,0,0,28,20
1,7819.4214,1,16,0,0,0,0,0,31,24
1,0,1,19,0,0,0,0,0,33,24
1,0,0,14,1,1,0,0,0,26,19
1,15460.413,0,16,0,1,0,0,0,34,24
1,6832.8101,0,16,0,0,0,0,0,33,27
1,21002.23,1,12,1,0,0,0,0,29,17
0,0,0,12,1,1,0,0,0,31,21
0,0,0,12,1,0,0,0,0,25,19
1,808.18182,0,12,1,0,0,0,0,30,20
1,20897.273,0,12,0,1,0,0,0,34,18
1,0,0,16,0,0,0,0,0,35,24
1,33597.273,0,12,1,0,0,0,0,33,19
0,0,1,12,0,1,0,0,0,34,20
1,8407.1904,0,12,0,1,0,0,0,35,23
0,0,1,12,1,1,0,0,0,33,21
1,11555.95,1,12,0,0,0,0,0,34,18
1,4208.8428,0,12,0,0,0,0,0,26,18
0,0,1,12,1,1,0,0,0,31,21
1,8407.1904,1,12,0,0,0,0,0,33,16
1,16803.885,0,12,1,0,0,0,0,27,20
0,0,0,12,0,0,0,0,0,29,18
1,3159.2561,0,16,0,0,0,0,0,34,19
1,8407.1904,0,12,1,1,0,0,0,25,20
0,0,0,10,0,1,0,0,0,26,18
0,0,0,10,0,0,0,0,0,34,19
1,10506.363,0,12,1,1,0,0,0,32,24
1,11555.95,1,8,0,1,0,0,0,28,16
0,0,1,13,1,0,0,0,0,31,20
0,0,0,15,0,1,0,0,0,29,18
1,640.24792,0,12,1,1,0,0,0,22,17
0,0,0,12,0,0,0,0,0,29,24
0,0,0,13,1,0,0,0,0,24,19
0,0,1,13,1,1,0,0,0,34,19
1,26418.1,0,13,0,0,0,0,0,35,17
0,0,1,7,1,1,0,0,0,28,19
1,8407.1904,0,11,1,1,0,0,0,23,17
1,14704.711,1,13,0,0,0,0,0,32,18
