leadid,election_date,reelected,iso3,leader,entry_date,exit_date,entry_year,exit_year,spell_yrs,gold,silver,bronze,medal_score,gold_lag1,silver_lag1,bronze_lag1,medal_score_lag1,gold_lag2,silver_lag2,bronze_lag2,medal_score_lag2,cname,atop_number,bci_bci,bmr_demdur,cai_cai2,cbi_cbiw,cbie_index,ccp_cc,ccp_childwrk,ccp_equal,ccp_freerel,ccp_slave,ccp_strike,ciri_assn,ciri_dommov,ciri_formov,ciri_injud,ciri_physint,ciri_polpris,ciri_speech,ciri_tort,ef_ef,fh_cl,fh_pr,gol_enep,gol_est,gol_pr,h_j,ht_region,p_durable,p_polity2,pwt_hci,rd_inw,ross_gas_value_2014,ross_oil_value_2014,top_top10_income_share,undp_hdi,van_index,vdem_corr,vdem_gender,vdem_libdem,vdem_polyarchy,wdi_acel,wdi_agedr,wdi_ane,wdi_araland,wdi_area,wdi_birth,wdi_co2,wdi_death,wdi_elerenew,wdi_empagr,wdi_empind,wdi_empser,wdi_eneimp,wdi_expedu,wdi_expmil,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_forest,wdi_fossil,wdi_gdpagr,wdi_gdpcapcon2015,wdi_gdpind,wdi_gerp,wdi_internet,wdi_lfpf,wdi_lifexp,wdi_pop,wdi_pop14,wdi_pop65,wdi_popden,wdi_popurb,wdi_refori,wdi_trade,wdi_unempilo
35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2009-06-28,1,ALB,Berisha,1992-04-09,1997-07-24,1992,1997,5.28952772073922,0,0,0,0,0,0,0,0,0,0,0,0,Albania,8,57.357534,13,1,0.711,0.791,2,1,1,1,2,1,2,2,2,0,7,2,1,1,2.24515076631552,3,3,3.18,2,25,0,1,12,9,2.8975446,1717698012.16514,7671973.94589872,132374779.707098,0.3178,0.752,21.4,0.755,0.808,0.452,0.553,99.6,49.396599852416,21.87501519447765,22.22627737226277,27400,11.841,1.4605883001954898,6.81,99.9807766243752,44.0516349157035,19.9406955859942,36.0076694983023,41.66724583708629,4.369454860687259,1.5172171395597,11.17064324507889,3.27670073351641,1.647,28.496094890510943,63.42172640051569,16.794383601879826,3432.170871972196,24.41377839319682,100.923736572266,41.2,42.07159175036301,77.781,2927519,21.7987870159832,11.2652729879444,106.8437591240876,51.076,15707,75.09491440080564,13.674
35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2009-06-28,1,ALB,Berisha,2005-09-11,2013-09-15,2005,2013,8.010951403148528,0,0,0,0,0,0,0,0,0,0,0,0,Albania,8,57.357534,13,1,0.711,0.791,2,1,1,1,2,1,2,2,2,0,7,2,1,1,2.24515076631552,3,3,3.18,2,25,0,1,12,9,2.8975446,1717698012.16514,7671973.94589872,132374779.707098,0.3178,0.752,21.4,0.755,0.808,0.452,0.553,99.6,49.396599852416,21.87501519447765,22.22627737226277,27400,11.841,1.4605883001954898,6.81,99.9807766243752,44.0516349157035,19.9406955859942,36.0076694983023,41.66724583708629,4.369454860687259,1.5172171395597,11.17064324507889,3.27670073351641,1.647,28.496094890510943,63.42172640051569,16.794383601879826,3432.170871972196,24.41377839319682,100.923736572266,41.2,42.07159175036301,77.781,2927519,21.7987870159832,11.2652729879444,106.8437591240876,51.076,15707,75.09491440080564,13.674
35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2013-06-23,0,ALB,Berisha,1992-04-09,1997-07-24,1992,1997,5.28952772073922,0,0,0,0,0,0,0,0,0,0,0,0,Albania,8,57.787664,17,1,0.711,0.791,2,1,1,1,2,1,2,1,2,0,7,2,1,1,2.24662015081451,3,3,3.51184,2,25,0,1,16,9,2.924037,1281848113.75308,2556556.31015731,685558467.262528,0.3185,0.793,33.964288,0.753,0.824,0.436,0.524,99.9,46.58644075005341,26.06878501192281,22.521897810218977,27400,12.279,1.647892364042317,7.819,100,44.1980267602681,16.8779557826563,38.9240174570756,12.320705333450574,3.53929996490479,1.40898210141146,9.81628458243044,0.2226756498335619,1.697,28.698558394160585,56.395338812823184,19.565157812322923,3780.6991925409625,23.06131685200507,101.474952697754,51.8,41.85302213463199,78.123,2895092,19.0870740495197,12.6938075118444,105.66029197080292,55.387,10104,75.87371384678971,15.866
35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2013-06-23,0,ALB,Berisha,2005-09-11,2013-09-15,2005,2013,8.010951403148528,0,0,0,0,0,0,0,0,0,0,0,0,Albania,8,57.787664,17,1,0.711,0.791,2,1,1,1,2,1,2,1,2,0,7,2,1,1,2.24662015081451,3,3,3.51184,2,25,0,1,16,9,2.924037,1281848113.75308,2556556.31015731,685558467.262528,0.3185,0.793,33.964288,0.753,0.824,0.436,0.524,99.9,46.58644075005341,26.06878501192281,22.521897810218977,27400,12.279,1.647892364042317,7.819,100,44.1980267602681,16.8779557826563,38.9240174570756,12.320705333450574,3.53929996490479,1.40898210141146,9.81628458243044,0.2226756498335619,1.697,28.698558394160585,56.395338812823184,19.565157812322923,3780.6991925409625,23.06131685200507,101.474952697754,51.8,41.85302213463199,78.123,2895092,19.0870740495197,12.6938075118444,105.66029197080292,55.387,10104,75.87371384678971,15.866
821abfda-1e42-11e4-b4cd-db5882bf8def,2005-09-11,0,ALB,Fatos Nano,2002-07-31,2005-09-11,2002,2005,3.1156741957563314,0,0,0,0,0,0,0,0,0,0,0,0,Albania,7,57.983077,9,1,0.711,0.791,2,1,1,1,2,1,2,2,2,1,7,2,1,1,1.95305888357476,3,3,10.46,3,1,0,1,8,9,2.8715568,1289704315.92613,22117348.2320859,168872116.006135,0.317,0.72,26.3,0.72,0.762,0.427,0.52,99.4,54.29936819733599,20.33206363211398,19.635036496350363,27400,13.235,1.377857516901119,6.306,98.713944515892,46.9627184183368,15.1280883694977,37.9092865234277,47.76617094727826,3.28154993057251,1.35000497056322,3.259767691596448,0.050440697497346,1.803,28.30967153284672,66.48668055056278,18.84530872472372,2675.5086370967542,25.081606589708805,107.016143798828,6.04389,42.41814815253481,76.621,3011487,25.4710426645616,9.71988377100567,109.90828467153284,46.731,12718,70.87234677546716,15.966
82037a5c-1e42-11e4-b4cd-db5882bf8def,1973-05-25,0,ARG,Lanusse,1971-03-25,1973-05-25,1971,1973,2.1683778234086244,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,2,60.540454999999994,1,0.01,0.4,0.5175,2,2,1,1,1,1,2,2,2,1,4,1,1,0,4.52716583890383,2,2,3.19,2,25,0,2,0,6,2.1396952,753211439.471146,1007698223.64199,2762982491.01437,0.5525,0.673,18.4,0.405,0.561,0.277,0.451,94.01413851342775,57.594506770074446,0.7235010206634614,8.945477931369647,2736690,24.343,3.6863642053496095,9.183,50.786170911756145,15.051310755712,22.7286545299633,61.3978195994159,14.226956732456252,1.78051996231079,1.84857142857143,1.9635266464697096,0.1139663046075032,3.198,43.46895472470901,93.37349898630508,11.952522488108624,9739.416270641852,43.35223993379024,105.710746765137,4.646745,35.82866154539711,66.323,25020588,29.6526490435127,6.89336131695549,9.142646043212784,80.158,516.5,13.322168511557578,6.48
82046e88-1e42-11e4-b4cd-db5882bf8def,1995-05-14,1,ARG,Menem,1989-07-08,1999-12-10,1989,1999,10.42299794661191,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,3,55.473776,13,0.15,0.803,0.802,2,2,1,1,1,1,2,2,2,1,7,2,2,2,3.43405281678463,3,2,3.58,2,25,1,2,12,7,2.6195345,63600000,3810735752.69954,7265899809.15747,0.4945000000000001,0.747,25.3,0.602,0.849,0.65,0.84,93.8344650268555,62.97481024379222,6.936594495015889,9.904300450544271,2736690,20.974,3.311996671446407,7.535,40.2133850630456,12.9353739664141,23.7391253978291,63.3255006357569,-24.20044554812046,2.39101004600525,1.47307310721151,2.1739275897499706,0.5802189071693696,2.864,12.530100230570508,87.09209566652393,5.351464616272997,9969.331575797223,26.30121033554979,108.6207885742185,0.086277081,40.953546317938375,73.133,34946110,29.2814736747524,9.35935072601786,12.769480649982276,88.164,330,19.771423090375507,18.8
824e4084-1e42-11e4-b4cd-db5882bf8def,1983-03-11,0,AUS,Fraser,1975-11-11,1983-03-11,1975,1983,7.329226557152635,0,0,0,0,0,0,0,0,0,0,0,0,Australia,2,14.71343,83,1,0.347,0.391,2,2,1,1,98,3,2,2,2,2,7,2,2,1,7.54720666335993,1,1,2.67,1,5,1,5,82,10,3.2714405,900273193.4,3487243337.87288,9112545149.20482,0.2483,0.884,28.5,0.034,0.834,0.836,0.876,100,52.226766129381566,1.5433055533819957,2.5056298244015465,7682300,15.8,14.144859587232821,7.3,19.257558098599752,3.43405582302153,23.2501811631813,72.6483618220342,-53.47947454379599,5.36459016799927,2.51981181916526,1.6872800475218288,0.2922247070148281,1.924,29.638114690346885,92.84942864135525,2.15159942379354,30608.22944252985,25.220032578308192,106.835792541504,41.49448266,45.38365101942094,75.14634146341464,15393472,24.3355555156849,9.97297614599317,2.0037582494825767,85.641,25.5,29.175553819187805,5.965
824e715e-1e42-11e4-b4cd-db5882bf8def,1998-10-03,1,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,0,0,1,1,9,9,23,77,0,0,1,1,Australia,4,11.916034,98,0.79,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.00882083176871,1,1,3.46,1,5,1,5,97,10,3.5127478,501585257.221363,3113346094.05746,3709114127.2933,0.3107,0.891,35.3,0.034,0.926,0.845,0.886,100,49.855351883663005,1.1702282070407752,2.779115629433893,7682300,13.3,18.367107734136788,6.8,8.4340500156395,4.84923055310032,22.3821303347635,72.7686391121361,-108.32674987039816,5.50121021270752,1.87112181310612,1.9009500019357288,1.1676122666983406,1.762,17.21199640732593,93.87865070879003,3.0288167809381576,42966.7934047812,25.360803747199785,101.735740661621,30.81323944,43.1995707577183,78.63170731707318,18607584,21.0604270036659,12.2085563621798,2.422137120393632,84.503,25.5,39.99270246419116,7.684
824e715e-1e42-11e4-b4cd-db5882bf8def,2001-11-10,1,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,16,25,17,131,0,0,1,1,9,9,23,77,Australia,3,10.599736,101,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.41885076977307,1,1,3.44,1,5,1,5,100,10,3.5275118,486744685.823923,6378927379.65871,7836367076.06703,0.3171,0.9,36.8,0.034,0.931,0.845,0.885,100,49.30850691345906,1.2291578270378634,3.150098277859495,7682300,12.7,18.692632378577493,6.6,8.09845495284596,4.75430110832152,21.5283106335394,73.7173882581391,-135.64555102281832,5.22261571884155,1.87009387891872,2.823052146766128,3.524709280802194,1.739,17.128633351990942,98.0530884338196,3.4968801332198667,46190.38120780137,23.633520968275462,101.439407348633,52.6893,44.181018698747714,79.63414634146342,19274701,20.5556432263529,12.4689356388545,2.5089753068742437,84.1,25.5,44.21870449899774,6.747
