leadid,election_date,reelected,iso3,leader,entry_date,exit_date,entry_year,exit_year,spell_yrs,gold,silver,bronze,medal_score,cname,atop_number,bci_bci,bmr_demdur,cai_cai2,cbi_cbiw,cbie_index,ccp_cc,ccp_childwrk,ccp_equal,ccp_freerel,ccp_slave,ccp_strike,ciri_assn,ciri_dommov,ciri_formov,ciri_injud,ciri_physint,ciri_polpris,ciri_speech,ciri_tort,ef_ef,fh_cl,fh_pr,gol_enep,gol_est,gol_pr,h_j,ht_region,p_durable,p_polity2,pwt_hci,rd_inw,ross_gas_value_2014,ross_oil_value_2014,top_top10_income_share,undp_hdi,van_index,vdem_corr,vdem_gender,vdem_libdem,vdem_polyarchy,wdi_acel,wdi_agedr,wdi_ane,wdi_araland,wdi_area,wdi_birth,wdi_co2,wdi_death,wdi_elerenew,wdi_empagr,wdi_empind,wdi_empser,wdi_eneimp,wdi_expedu,wdi_expmil,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_forest,wdi_fossil,wdi_gdpagr,wdi_gdpcapcon2015,wdi_gdpind,wdi_gerp,wdi_internet,wdi_lfpf,wdi_lifexp,wdi_pop,wdi_pop14,wdi_pop65,wdi_popden,wdi_popurb,wdi_refori,wdi_trade,wdi_unempilo
35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2009-06-28,1,ALB,Berisha,2005-09-11,2013-09-15,2005,2013,8.010951403148528,0,0,0,0,Albania,8,57.357534,13,1,0.711,0.791,2,1,1,1,2,1,2,2,2,0,7,2,1,1,2.24515076631552,3,3,3.18,2,25,0,1,12,9,2.8975446,1717698012.16514,7671973.94589872,132374779.707098,0.3178,0.752,21.4,0.755,0.808,0.452,0.553,99.6,49.396599852416,21.87501519447765,22.22627737226277,27400,11.841,1.4605883001954898,6.81,99.9807766243752,44.0516349157035,19.9406955859942,36.0076694983023,41.66724583708629,4.369454860687259,1.5172171395597,11.17064324507889,3.27670073351641,1.647,28.496094890510943,63.42172640051569,16.794383601879826,3432.170871972196,24.41377839319682,100.923736572266,41.2,42.07159175036301,77.781,2927519,21.7987870159832,11.2652729879444,106.8437591240876,51.076,15707,75.09491440080564,13.674
35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2013-06-23,0,ALB,Berisha,2005-09-11,2013-09-15,2005,2013,8.010951403148528,0,0,0,0,Albania,8,57.787664,17,1,0.711,0.791,2,1,1,1,2,1,2,1,2,0,7,2,1,1,2.24662015081451,3,3,3.51184,2,25,0,1,16,9,2.924037,1281848113.75308,2556556.31015731,685558467.262528,0.3185,0.793,33.964288,0.753,0.824,0.436,0.524,99.9,46.58644075005341,26.06878501192281,22.521897810218977,27400,12.279,1.647892364042317,7.819,100,44.1980267602681,16.8779557826563,38.9240174570756,12.320705333450574,3.53929996490479,1.40898210141146,9.81628458243044,0.2226756498335619,1.697,28.698558394160585,56.395338812823184,19.565157812322923,3780.6991925409625,23.06131685200507,101.474952697754,51.8,41.85302213463199,78.123,2895092,19.0870740495197,12.6938075118444,105.66029197080292,55.387,10104,75.87371384678971,15.866
821abfda-1e42-11e4-b4cd-db5882bf8def,2005-09-11,0,ALB,Fatos Nano,2002-07-31,2005-09-11,2002,2005,3.1156741957563314,0,0,0,0,Albania,7,57.983077,9,1,0.711,0.791,2,1,1,1,2,1,2,2,2,1,7,2,1,1,1.95305888357476,3,3,10.46,3,1,0,1,8,9,2.8715568,1289704315.92613,22117348.2320859,168872116.006135,0.317,0.72,26.3,0.72,0.762,0.427,0.52,99.4,54.29936819733599,20.33206363211398,19.635036496350363,27400,13.235,1.377857516901119,6.306,98.713944515892,46.9627184183368,15.1280883694977,37.9092865234277,47.76617094727826,3.28154993057251,1.35000497056322,3.259767691596448,0.050440697497346,1.803,28.30967153284672,66.48668055056278,18.84530872472372,2675.5086370967542,25.081606589708805,107.016143798828,6.04389,42.41814815253481,76.621,3011487,25.4710426645616,9.71988377100567,109.90828467153284,46.731,12718,70.87234677546716,15.966
824e715e-1e42-11e4-b4cd-db5882bf8def,1998-10-03,1,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,9,9,24,78,Australia,4,11.916034,98,0.79,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.00882083176871,1,1,3.46,1,5,1,5,97,10,3.5127478,501585257.221363,3113346094.05746,3709114127.2933,0.3107,0.891,35.3,0.034,0.926,0.845,0.886,100,49.855351883663005,1.1702282070407752,2.779115629433893,7682300,13.3,18.367107734136788,6.8,8.4340500156395,4.84923055310032,22.3821303347635,72.7686391121361,-108.32674987039816,5.50121021270752,1.87112181310612,1.9009500019357288,1.1676122666983406,1.762,17.21199640732593,93.87865070879003,3.0288167809381576,42966.7934047812,25.360803747199785,101.735740661621,30.81323944,43.1995707577183,78.63170731707318,18607584,21.0604270036659,12.2085563621798,2.422137120393632,84.503,25.5,39.99270246419116,7.684
824e715e-1e42-11e4-b4cd-db5882bf8def,2001-11-10,1,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,25,34,41,209,Australia,3,10.599736,101,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.41885076977307,1,1,3.44,1,5,1,5,100,10,3.5275118,486744685.823923,6378927379.65871,7836367076.06703,0.3171,0.9,36.8,0.034,0.931,0.845,0.885,100,49.30850691345906,1.2291578270378634,3.150098277859495,7682300,12.7,18.692632378577493,6.6,8.09845495284596,4.75430110832152,21.5283106335394,73.7173882581391,-135.64555102281832,5.22261571884155,1.87009387891872,2.823052146766128,3.524709280802194,1.739,17.128633351990942,98.0530884338196,3.4968801332198667,46190.38120780137,23.633520968275462,101.439407348633,52.6893,44.181018698747714,79.63414634146342,19274701,20.5556432263529,12.4689356388545,2.5089753068742437,84.1,25.5,44.21870449899774,6.747
824e715e-1e42-11e4-b4cd-db5882bf8def,2004-10-09,1,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,44,50,58,334,Australia,3,9.479927,104,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.80285238156583,1,1,3.17,1,5,1,5,103,10,3.4943507,824729101.175224,11112197911.8414,7631611220.5721,0.3329,0.908,33.9,0.034,0.93,0.84,0.88,100,48.66810302359174,1.1797493320610009,3.350949585410619,7682300,12.3,19.147721018734924,6.5,8.1866501908305,3.73788984710175,21.9709477452854,74.2911519660256,-125.59655312946192,5.19307231903076,1.82741076940486,6.980716853343118,1.5919447907958642,1.768,17.040066126029966,94.06821267120928,3.061605922538072,49901.01529578256,23.93491874100932,103.302062988281,41.49448266,44.556100092558346,80.49024390243903,19932722,19.9476177130945,12.788458411359,2.5946294729443005,84.463,11,37.00961359304424,5.399
824e715e-1e42-11e4-b4cd-db5882bf8def,2007-11-24,0,AUS,Howard,1996-03-11,2007-12-03,1996,2007,11.728952772073923,45,50,59,339,Australia,5,8.60513,107,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,8.08149723806276,1,1,3.03,1,5,1,5,106,10,3.4615014,1341851616.34835,12462106854.7875,14032855946.2167,0.3414,0.916,28.2,0.034,0.932,0.84,0.88,100,48.24343853579403,1.1690255962543925,3.010166226260365,7682300,14.1,19.224057359980893,6.7,8.64807246716794,3.32081335302302,21.9081050202671,74.7710816267099,-134.1001662314179,4.96966886520386,1.81227323422698,5.197717936876336,1.6866264502348185,1.959,16.95149890006899,94.293103951311,2.2060140143963904,52530.70189301245,25.66594093972304,105.422981262207,69.45,45.15637904918525,81.29268292682927,20827622,19.4336490128957,13.1097405249566,2.71111802454994,84.822,57,42.00802003263476,4.381
8255e1cb-1e42-11e4-b4cd-db5882bf8def,2013-09-18,0,AUS,Rudd,2013-06-27,2013-09-18,2013,2013,0.2272416153319644,0,0,0,0,Australia,5,8.558689,113,1,0.251,0.424,2,2,1,1,98,3,2,2,2,2,7,2,2,1,6.98815610522221,1,1,3.00836,1,5,1,5,112,10,3.4687328,2461137536.76136,8301883828.2947,13623486068.1443,0.3482,0.929,41.0922,0.037,0.931,0.818,0.86,100,49.984637166048046,2.138830763347635,4.063991252619658,7682300,13.3,17.53120626402594,6.4,13.2641083883167,2.61818786659868,20.4516291121862,76.9301917296687,-172.43834034344908,5.5196270942688,1.6391801995446105,3.4535367686306917,-0.0487988797369922,1.855,17.14006742772347,93.70804882449004,2.2852850020651143,55734.5743411489,25.18698229855377,105.802581787109,83.4535,45.74610646516879,82.14878048780488,23128129,18.9256202512991,14.4008825109393,3.010573526157531,85.502,27,41.25019106374537,5.663
8216ef37-1e42-11e4-b4cd-db5882bf8def,2000-02-04,0,AUT,Klima,1997-01-28,2000-02-04,1997,2000,3.0171115674195756,3,5,9,31,Austria,2,20.713776,55,1,0.857,0.929,2,2,1,2,98,3,1,2,2,2,5,2,1,0,5.90026555773448,1,1,3.82,2,12,1,5,54,10,3.1170292,1804517334,344193765.525911,276813759.885002,0.3491,0.87,37.7,0.086,0.928,0.787,0.86,100,48.059013184472846,11.25575227754226,16.95346582646631,82520,9.8,8.332827814187638,9.6,72.5440090857467,6.05078317146185,30.0245893328607,63.9246274956774,65.75385172678044,5.58880996704102,0.98031858008593,4.308900394190173,2.792589613669845,1.36,46.51163354338343,76.53529223461383,1.6473002129897931,38842.89051958305,28.284802034095595,101.86939239502,33.7301,43.948510943667024,78.1268292682927,8011566,17.046335286558,15.413033147977,97.0863548230732,60.213,33,85.3604956179232,4.694
8216ef38-1e42-11e4-b4cd-db5882bf8def,2002-11-24,1,AUT,Schussel,2000-02-05,2007-01-11,2000,2007,6.93223819301848,5,5,10,40,Austria,2,20.201284,57,1,0.857,0.929,2,2,1,2,98,3,1,2,2,2,7,2,1,1,5.83773895335008,1,1,3.02,2,12,1,5,56,10,3.1495168,1985329834,328925443.291751,223344442.844548,0.3483,0.878,33.9,0.098,0.935,0.787,0.86,100,47.16863663429619,10.510055569634575,16.78380998545807,82520,9.7,9.028258873438698,9.4,69.0129476493263,5.75868767194551,28.8522342298336,65.389078098220807,67.71055328606258,5.52213001251221,0.8835278365730901,0.0645287977951281,2.696162435995293,1.39,46.57237033446437,77.31087416751208,1.5627744114919595,39636.48261145213,27.38807848202851,102.810722351074,36.56,44.68806148693254,78.67804878048783,8081957,16.6177352323161,15.433002037878,97.93937227338829,59.655,72,86.94816799966057,4.86
